Question	Answer	Source	Metadata
What is LUIS?	Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot	Editorial	
How can I interpret my user's intents?	Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot	Editorial	
How can my bot understand intents?	Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot	Editorial	
What is the bot framework?	Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.	Editorial	
How can I build a bot?	Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.	Editorial	
What is the Azure Bot Service?	Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.	Editorial	
What is Azure?	Microsoft Azure is an ever-expanding set of cloud services to help your organization meet your business challenges. It’s the freedom to build, manage, and deploy applications on a massive, global network using your favorite tools and frameworks.	Editorial	
What cloud services does Microsoft offer?	Microsoft Azure is an ever-expanding set of cloud services to help your organization meet your business challenges. It’s the freedom to build, manage, and deploy applications on a massive, global network using your favorite tools and frameworks.	Editorial	
What is Dot net core?	.NET Core is an open-source, general-purpose development platform maintained by Microsoft and the .NET community on GitHub. It's cross-platform (supporting Windows, macOS, and Linux) and can be used to build device, cloud, and IoT applications.\n  \n\n\n\nSee About .NET Core to learn more about .NET Core, including its characteristics, supported languages and frameworks, and key APIs.\n  \n\n\n\nCheck out .NET Core Tutorials to learn how to create a simple .NET Core application. It only takes a few minutes to get your first app up and running. If you want to try .NET Core in your browser, look at the Numbers in C# online tutorial.	Editorial	
What is Dotnetcore?	.NET Core is an open-source, general-purpose development platform maintained by Microsoft and the .NET community on GitHub. It's cross-platform (supporting Windows, macOS, and Linux) and can be used to build device, cloud, and IoT applications.\n  \n\n\n\nSee About .NET Core to learn more about .NET Core, including its characteristics, supported languages and frameworks, and key APIs.\n  \n\n\n\nCheck out .NET Core Tutorials to learn how to create a simple .NET Core application. It only takes a few minutes to get your first app up and running. If you want to try .NET Core in your browser, look at the Numbers in C# online tutorial.	Editorial	
What is .NET Core?	.NET Core is an open-source, general-purpose development platform maintained by Microsoft and the .NET community on GitHub. It's cross-platform (supporting Windows, macOS, and Linux) and can be used to build device, cloud, and IoT applications.\n  \n\n\n\nSee About .NET Core to learn more about .NET Core, including its characteristics, supported languages and frameworks, and key APIs.\n  \n\n\n\nCheck out .NET Core Tutorials to learn how to create a simple .NET Core application. It only takes a few minutes to get your first app up and running. If you want to try .NET Core in your browser, look at the Numbers in C# online tutorial.	Editorial	
What is Sharepoint?	SharePoint empowers teamwork with dynamic and productive team sites for every project team, department, and division. Share files, data, news, and resources. Customize your site to streamline your team’s work. Collaborate effortlessly and securely with team members inside and outside your organization, across PCs, Macs, and mobile devices.	Editorial	
What can I do with Sharepoint?	SharePoint empowers teamwork with dynamic and productive team sites for every project team, department, and division. Share files, data, news, and resources. Customize your site to streamline your team’s work. Collaborate effortlessly and securely with team members inside and outside your organization, across PCs, Macs, and mobile devices.	Editorial	
What is xbox?	From games you can play together to your favorite apps and entertainment, Xbox has something for every member of the family. With Xbox One in your family room you’ve got a whole world of entertainment. Access entertainment apps like YouTube, Netflix, and Spotify. Stream your favorite shows and watch Blu-ray movies in 4K. Cut the clutter with just one box for all your entertainment needs.	Editorial	
Tell me about the xbox	From games you can play together to your favorite apps and entertainment, Xbox has something for every member of the family. With Xbox One in your family room you’ve got a whole world of entertainment. Access entertainment apps like YouTube, Netflix, and Spotify. Stream your favorite shows and watch Blu-ray movies in 4K. Cut the clutter with just one box for all your entertainment needs.	Editorial	
Should I get an xbox?	From games you can play together to your favorite apps and entertainment, Xbox has something for every member of the family. With Xbox One in your family room you’ve got a whole world of entertainment. Access entertainment apps like YouTube, Netflix, and Spotify. Stream your favorite shows and watch Blu-ray movies in 4K. Cut the clutter with just one box for all your entertainment needs.	Editorial	
