Question	Answer	Source	Metadata
What is LUIS?	{\n\n"title": "Luis.ai",\n\n"body":"Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot",\n\n"img": "https://docs.microsoft.com/en-us/azure/cognitive-services/luis/media/luis-overview/luis-entry-point.png",\n\n"url": "https://www.luis.ai/home"\n\n}	Editorial	
How can I interpret my user's intents?	{\n\n"title": "Luis.ai",\n\n"body":"Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot",\n\n"img": "https://docs.microsoft.com/en-us/azure/cognitive-services/luis/media/luis-overview/luis-entry-point.png",\n\n"url": "https://www.luis.ai/home"\n\n}	Editorial	
How can my bot understand intents?	{\n\n"title": "Luis.ai",\n\n"body":"Designed to identify valuable information in conversations, LUIS interprets user goals (intents) and distills valuable information from sentences (entities), for a high quality, nuanced language model. LUIS integrates seamlessly with the Azure Bot Service, making it easy to create a sophisticated bot",\n\n"img": "https://docs.microsoft.com/en-us/azure/cognitive-services/luis/media/luis-overview/luis-entry-point.png",\n\n"url": "https://www.luis.ai/home"\n\n}	Editorial	
What is the bot framework?	{\n\n"title": "Azure Bot Service",\n\n"body":"Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.",\n\n"img":"https://dev.botframework.com/Client/Images/ChatBot-BotFramework.png",\n\n"url": "https://docs.microsoft.com/en-us/azure/bot-service/?view=azure-bot-service-4.0"\n\n}	Editorial	
How can I build a bot?	{\n\n"title": "Azure Bot Service",\n\n"body":"Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.",\n\n"img":"https://dev.botframework.com/Client/Images/ChatBot-BotFramework.png",\n\n"url": "https://docs.microsoft.com/en-us/azure/bot-service/?view=azure-bot-service-4.0"\n\n}	Editorial	
What is the Azure Bot Service?	{\n\n"title": "Azure Bot Service",\n\n"body":"Azure Bot Service speeds up development by providing an integrated environment that's purpose-built for bot development with the Microsoft Bot Framework connectors and BotBuilder SDKs. Developers can get started in seconds with out-of-the-box templates for scenarios including basic, form, language understanding, question and answer, and proactive bots.",\n\n"img":"https://dev.botframework.com/Client/Images/ChatBot-BotFramework.png",\n\n"url": "https://docs.microsoft.com/en-us/azure/bot-service/?view=azure-bot-service-4.0"\n\n}	Editorial	
What is Azure?	{\n\n"title": "Microsoft Azure",\n\n"body":"Microsoft Azure is an ever-expanding set of cloud services to help your organization meet your business challenges. It’s the freedom to build, manage, and deploy applications on a massive, global network using your favorite tools and frameworks.",\n\n"img": "https://azurecomcdn.azureedge.net/cvt-5849e1ac5967a966babf11b644695a2db922314d8bbca779736e06135510d0e3/less/images/section/what-is-azure-hero.png",\n\n"url":"https://azure.microsoft.com/en-us/overview/what-is-azure/"\n\n}	Editorial	
What cloud services does Microsoft offer?	{\n\n"title": "Microsoft Azure",\n\n"body":"Microsoft Azure is an ever-expanding set of cloud services to help your organization meet your business challenges. It’s the freedom to build, manage, and deploy applications on a massive, global network using your favorite tools and frameworks.",\n\n"img": "https://azurecomcdn.azureedge.net/cvt-5849e1ac5967a966babf11b644695a2db922314d8bbca779736e06135510d0e3/less/images/section/what-is-azure-hero.png",\n\n"url":"https://azure.microsoft.com/en-us/overview/what-is-azure/"\n\n}	Editorial	
What is Dot net core?	{\n\n"title": ".NET Core",\n\n"body":".NET Core is an open-source, general-purpose development platform maintained by Microsoft and the .NET community on GitHub. It's cross-platform (supporting Windows, macOS, and Linux) and can be used to build device, cloud, and IoT applications. See About .NET Core to learn more about .NET Core, including its characteristics, supported languages and frameworks, and key APIs. Check out .NET Core Tutorials to learn how to create a simple .NET Core application. It only takes a few minutes to get your first app up and running. If you want to try .NET Core in your browser, look at the Numbers in C# online tutorial.",\n\n"img":"https://dotnet.microsoft.com/images/redesign/learn/what-is-dotnet/cross-platform.svg?v=anfPiIBTMTvKH8bexRWIiCVlrs1QmV5FHDb96PaoVCw",\n\n"url": "https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"\n\n}	Editorial	
What is Dotnetcore?	{\n\n"title": ".NET Core",\n\n"body":".NET Core is an open-source, general-purpose development platform maintained by Microsoft and the .NET community on GitHub. It's cross-platform (supporting Windows, macOS, and Linux) and can be used to build device, cloud, and IoT applications. See About .NET Core to learn more about .NET Core, including its characteristics, supported languages and frameworks, and key APIs. Check out .NET Core Tutorials to learn how to create a simple .NET Core application. It only takes a few minutes to get your first app up and running. If you want to try .NET Core in your browser, look at the Numbers in C# online tutorial.",\n\n"img":"https://dotnet.microsoft.com/images/redesign/learn/what-is-dotnet/cross-platform.svg?v=anfPiIBTMTvKH8bexRWIiCVlrs1QmV5FHDb96PaoVCw",\n\n"url": "https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"\n\n}	Editorial	
